"","date","V_00","NO_00","NO_01","NO2_00","NO2_01","RH_01","T_01","timestamp","delta_time","delta_RH_01","dRH_01_T0_060","dRH_01_T0_090","dRH_01_T0_120","dRH_01_T0_150","REFNO","REFNO2"
"862","2019-12-18 13:30:00",5.755615234375,4.5684814453125,5.8502197265625,3.7261962890625,-4.8797607421875,76.4939727783203,12.0055821533203,1576675800,600,-1.27620697021484,-0.00971369356735644,-0.011876629819048,-0.0136262321698009,-0.0150654573054859,9.3047,16.3621
"863","2019-12-18 13:40:00",5.755615234375,4.4677734375,5.9234619140625,3.6163330078125,-4.541015625,76.3907852172852,12.2758546142578,1576676400,600,-0.103187561035156,-0.00839442555049077,-0.0107993682380267,-0.0127075697182973,-0.0142631774838716,9.6556,15.8989
"864","2019-12-18 13:50:00",5.755615234375,2.9937744140625,4.0283203125,2.9754638671875,-5.2734375,75.3053131103516,12.568381652832,1576677000,600,-1.08547210693359,-0.00891471183255543,-0.01147062949809,-0.0134918660586271,-0.0151322136486262,5.5002,13.9492
"865","2019-12-18 14:00:00",5.755615234375,3.0487060546875,4.522705078125,3.11279296875,-5.38330078125,74.3468704223633,12.7678684692383,1576677600,600,-0.958442687988281,-0.00914357126160312,-0.0118621950419591,-0.0140122060516233,-0.01575757448358,5.5738,15.0577
"866","2019-12-18 14:10:00",5.755615234375,3.7994384765625,5.09033203125,3.277587890625,-5.2093505859375,74.0256729125977,12.8834313964844,1576678200,600,-0.321197509765625,-0.00827514671129798,-0.0111493085403998,-0.0134240564015383,-0.0152694603297035,5.8627,15.8291
"867","2019-12-18 14:20:00",5.755615234375,3.7994384765625,5.1727294921875,3.424072265625,-4.9713134765625,73.1215896606445,12.9086353759766,1576678800,600,-0.904083251953125,-0.00851130111632778,-0.0114793867699639,-0.0138404561346612,-0.0157521975322649,7.2903,17.5206
"868","2019-12-18 14:30:00",5.755615234375,5.4840087890625,6.6375732421875,4.1107177734375,-4.1473388671875,72.5844802856445,12.8480385742187,1576679400,600,-0.537109375,-0.00809978720853536,-0.011166489320135,-0.0136254089613,-0.0156231718981208,10.4468,21.2252
"869","2019-12-18 14:40:00",5.755615234375,5.7403564453125,6.903076171875,4.486083984375,-3.9459228515625,72.7210464477539,12.7587521362305,1576680000,600,0.136566162109375,-0.00662862569093351,-0.00976322207242532,-0.012302831460126,-0.0143752294951094,10.9493,22.0408
"871","2019-12-18 15:00:00",5.74554443359375,8.331298828125,8.148193359375,5.401611328125,-3.2958984375,73.5330047607422,12.2586944580078,1576681200,600,0.789642333984375,-0.00340231915935863,-0.00647254842124133,-0.00908040749401248,-0.0112681443389914,10.2011,21.9192
"872","2019-12-18 15:10:00",5.74737548828125,4.87060546875,6.1981201171875,4.79736328125,-3.9825439453125,74.6129455566406,11.8522132568359,1576681800,600,1.07994079589844,-0.00107930238761082,-0.00397916669043451,-0.00650305246028121,-0.00862320008187416,8.7326,23.5431
"873","2019-12-18 15:20:00",5.755615234375,4.7332763671875,6.170654296875,4.925537109375,-3.9642333984375,75.2803268432617,11.4237456054687,1576682400,600,0.667381286621094,0.000198646856431501,-0.00244914510836802,-0.00487373236098195,-0.0069615206779655,7.3502,22.5359
"874","2019-12-18 15:30:00",5.75897216796875,7.3516845703125,8.4228515625,5.67626953125,-3.2501220703125,76.9809188842773,10.9505006713867,1576683000,600,1.70059204101562,0.00300250485228524,0.000643273154519612,-0.00164754682450914,-0.00367320732983607,14.0165,24.2418
"875","2019-12-18 15:40:00",5.75836181640625,12.34130859375,14.3829345703125,6.5643310546875,-2.288818359375,79.0589752197266,10.4970971679687,1576683600,600,2.07805633544922,0.00600464374124567,0.00403344075356928,0.00192510231920879,-2.46757562345527e-05,27.9516,26.9708
"876","2019-12-18 15:50:00",5.75897216796875,12.2222900390625,13.8885498046875,6.5277099609375,-2.4444580078125,80.4126205444336,10.12171875,1576684200,600,1.35364532470703,0.00733914239526848,0.00586930796098667,0.00404310044113952,0.00226945076834964,27.7192,25.5326
"877","2019-12-18 16:00:00",5.76171875,13.5406494140625,15.2252197265625,6.573486328125,-2.4261474609375,81.5936508178711,9.78495068359375,1576684800,600,1.1810302734375,0.00818114110608418,0.00722541535239373,0.00570804329350206,0.00413709349384353,30.4451,25.4635
"878","2019-12-18 16:10:00",5.76171875,19.07958984375,20.379638671875,7.2784423828125,-2.0050048828125,82.5791778564453,9.47177783203125,1576685400,600,0.985527038574219,0.00856752083311578,0.00810474260630858,0.00688061042374221,0.00548155928535966,44.1189,27.1848
